No teiku master tabulas,Garais nosaukums,Kods,Veids,,,,,,
"""Baltijas Vēstneša"" piel. 1894.",Baltijas Vēstnesis,BV,periodika,,,,,,
"""Baltijas Vēstnesis"" 1870. g. nr. 11.",Baltijas Vēstnesis,BV,periodika,,,,,,
"""Baltijas Vēstnesis"" 1893. g. nr. 185.",Baltijas Vēstnesis,BV,periodika,,,,,,
"""Baltijas Vēstnesis"" 1899. g.",Baltijas Vēstnesis,BV,periodika,,,,,,
"""Baltijas Vēstnesis"", 1893. g. nr. 46.",Baltijas Vēstnesis,BV,periodika,,,,,,
"""Bērnu Pastinieks"" 1868. g, nr. 1. — 4.",Bērnu Pastinieks,BP,periodika,,,,,,
Balt. Vēstn. p. 1890. g. nr. 55.,Baltijas Vēstnesis,BV,periodika,,,,,,
"""Šis un tas""  I, 1872, 40.","Bankins Jānis ""Šis un tas, svešs un pats""",BJ,apkopojums,,,,,,
"""Šis un tas"" I, 1872, 39.","Bankins Jānis ""Šis un tas, svešs un pats""",BJ,apkopojums,,,,,,
"""Šis un tas"" III, 1879. g. 59. l. p.","Bankins Jānis ""Šis un tas, svešs un pats""",BJ,apkopojums,,,,,,
"""Šis un tas"", I, 1872, 38.","Bankins Jānis ""Šis un tas, svešs un pats""",BJ,apkopojums,,,,,,
"""Šis un tas"", I, 1872, 41.","Bankins Jānis ""Šis un tas, svešs un pats""",BJ,apkopojums,,,,,,
"Baznīcas Vēstnesī, 1898. g. nr. 1, 24. lpp., 21. nr. ""Par Mazsalaces draudzi"".",Baznīcas Vēstnesis,BaV,periodika,,,,,,
"""Brīvā Zeme"" 1939. g. 14. janv.",Brīvā Zeme,BZ,periodika,,,,,,
"P. Bērziņa ""Lasāmā grāmata"" 99.","Bērziņš Pēteris ""Lasāmā grāmata skolas bērniem""",PeB,cits,1903,,,,,
A Bērzkalnes kr.,Bērzkalnes Annas krājums,BA,apkopojums,,,,,,
A. Bērzkalnes kr.,Bērzkalnes Annas krājums,BA,apkopojums,,,,,,
A. Bērzkalnes krāj.,Bērzkalnes Annas krājums,BA,apkopojums,,,,,,
A. Bērzkalnes krājumā.,Bērzkalnes Annas krājums,BA,apkopojums,,,,,,
A. Bērzkalnes krājums.,Bērzkalnes Annas krājums,BA,apkopojums,,,,,,
A. Bērzkalnes krājums.,Bērzkalnes Annas krājums,BA,apkopojums,,,,,,
A. Bērzkalnes krājums.,Bērzkalnes Annas krājums,BA,apkopojums,,,,,,
A. Bērzkalnes krājums.,Bērzkalnes Annas krājums,BA,apkopojums,,,,,,
A. Bērzkalnes krājums.,Bērzkalnes Annas krājums,BA,apkopojums,,,,,,
